index, fecha,sintomas,Casos por fecha de toma de muestra,Casos por fecha de emisión de resultados
207,2021-01-07,457,912,992
208,2021-01-08,504,998,1053
209,2021-01-09,430,639,340
210,2021-01-10,516,540,203
211,2021-01-11,464,1127,1018
212,2021-01-12,406,966,993
213,2021-01-13,379,832,962
214,2021-01-14,324,803,1132
215,2021-01-15,481,764,1012
216,2021-01-16,335,464,308
217,2021-01-17,314,376,252
218,2021-01-18,446,860,1097
219,2021-01-19,303,752,1016
220,2021-01-20,428,698,994
221,2021-01-21,266,771,1224
222,2021-01-22,310,765,952
223,2021-01-23,299,387,345
224,2021-01-24,306,322,229
225,2021-01-25,396,755,1039
226,2021-01-26,346,708,1048
227,2021-01-27,280,653,1132
228,2021-01-28,236,696,756
229,2021-01-29,308,595,801
230,2021-01-30,245,416,394
231,2021-01-31,209,292,138
232,2021-02-01,407,652,679
233,2021-02-02,291,552,668
234,2021-02-03,291,530,683
235,2021-02-04,256,558,668
236,2021-02-05,285,585,644
237,2021-02-06,232,383,226
238,2021-02-07,277,284,106
239,2021-02-08,312,655,776
240,2021-02-09,219,601,804
241,2021-02-10,323,563,818
242,2021-02-11,231,522,751
243,2021-02-12,291,535,831
244,2021-02-13,250,295,175
245,2021-02-14,274,238,131
246,2021-02-15,347,601,701
247,2021-02-16,216,584,769
248,2021-02-17,222,543,742
249,2021-02-18,215,557,683
250,2021-02-19,265,535,670
251,2021-02-20,311,290,242
252,2021-02-21,231,231,127
253,2021-02-22,304,638,833
254,2021-02-23,272,593,692
255,2021-02-24,213,484,743
256,2021-02-25,253,571,670
257,2021-02-26,273,553,520
258,2021-02-27,262,363,190
259,2021-02-28,391,318,155
260,2021-03-01,510,766,752
261,2021-03-02,356,676,826
262,2021-03-03,306,617,643
263,2021-03-04,301,692,814
264,2021-03-05,396,703,647
265,2021-03-06,374,396,239
266,2021-03-07,357,310,216
267,2021-03-08,477,847,809
268,2021-03-09,395,743,815
269,2021-03-10,558,775,755
270,2021-03-11,428,832,871
271,2021-03-12,473,902,727
272,2021-03-13,464,494,223
273,2021-03-14,451,391,144
274,2021-03-15,674,1140,946
