Número;Datos - generales;;;;;;;;;;;;;;;;;;;;;;;;
154;3;;;;;;;;;;;;;;;;;;;;;;;;
155;6;;;;;;;;;;;;;;;;;;;;;;;;
156;5;;;;;;;;;;;;;;;;;;;;;;;;
157;3;;;;;;;;;;;;;;;;;;;;;;;;
158;7;;;;;;;;;;;;;;;;;;;;;;;;
159;8;;;;;;;;;;;;;;;;;;;;;;;;
160;7;;;;;;;;;;;;;;;;;;;;;;;;
161;4;;;;;;;;;;;;;;;;;;;;;;;;
162;4;;;;;;;;;;;;;;;;;;;;;;;;
163;4;;;;;;;;;;;;;;;;;;;;;;;;
164;8;;;;;;;;;;;;;;;;;;;;;;;;
165;5;;;;;;;;;;;;;;;;;;;;;;;;
166;4;;;;;;;;;;;;;;;;;;;;;;;;
167;3;;;;;;;;;;;;;;;;;;;;;;;;
168;5;;;;;;;;;;;;;;;;;;;;;;;;
169;7;;;;;;;;;;;;;;;;;;;;;;;;
170;5;;;;;;;;;;;;;;;;;;;;;;;;
171;2;;;;;;;;;;;;;;;;;;;;;;;;
172;2;;;;;;;;;;;;;;;;;;;;;;;;
173;3;;;;;;;;;;;;;;;;;;;;;;;;
174;5;;;;;;;;;;;;;;;;;;;;;;;;
175;1;;;;;;;;;;;;;;;;;;;;;;;;
176;6;;;;;;;;;;;;;;;;;;;;;;;;
177;4;;;;;;;;;;;;;;;;;;;;;;;;
178;6;;;;;;;;;;;;;;;;;;;;;;;;
179;4;;;;;;;;;;;;;;;;;;;;;;;;
180;4;;;;;;;;;;;;;;;;;;;;;;;;
181;3;;;;;;;;;;;;;;;;;;;;;;;;
182;3;;;;;;;;;;;;;;;;;;;;;;;;
183;6;;;;;;;;;;;;;;;;;;;;;;;;
184;6;;;;;;;;;;;;;;;;;;;;;;;;
185;3;;;;;;;;;;;;;;;;;;;;;;;;
186;4;;;;;;;;;;;;;;;;;;;;;;;;
187;5;;;;;;;;;;;;;;;;;;;;;;;;
188;5;;;;;;;;;;;;;;;;;;;;;;;;
